Name,simulate8Clients/alpha50_1_Outcome,simulate8Clients/alpha50_2_Outcome,simulate8Clients/alpha50_3_Outcome,simulate8Clients/OR_8Clients_Outcome,wholeBenchmarkRun/OR_Outcome,simulate8Clients/alpha50_1_TotalSplits,simulate8Clients/alpha50_2_TotalSplits,simulate8Clients/alpha50_3_TotalSplits,simulate8Clients/OR_8Clients_TotalSplits,wholeBenchmarkRun/OR_TotalSplits,simulate8Clients/alpha50_1_Runtime,simulate8Clients/alpha50_2_Runtime,simulate8Clients/alpha50_3_Runtime,simulate8Clients/OR_8Clients_Runtime,wholeBenchmarkRun/OR_Runtime,Who_Performed_Better,How_Much_Percentage,min(ORx8_alpha50x8)_RunTime,Run number
serial_pagedcode_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,185,218,207,142,0,3598.651526,3598.674198,3598.65266,3598.608827,3600,NONE,NA,3600,Run1
mouser_removelockreleasecreate_1.bpl.bpl.txt,NOK,NOK,NOK,TIMEDOUT,NOK,57,41,48,88,595,10.886464,9.581606,11.842372000000001,3599.256987,1025.762611,simulate8Clients/alpha50_2,10605.539457581537,9.581606,Run1
61883_forwardedatbadirqlallocate_0.bpl.bpl.txt,OK,OK,OK,OK,OK,54,65,51,24,137,44.530115,89.252166,104.17584699999999,13.340516,19.268986,simulate8Clients/OR_8Clients,44.43958539534755,13.340516,Run1
driver_markingqueuedirps_3.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,482,606,593,2216,0,3597.691428,3597.728636,3597.681501,3597.73327,3600,NONE,NA,3600,Run1
mouclass_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,26,32,25,20,154,15.03662,21.743508000000002,15.777616,12.809484,21.419873000000003,simulate8Clients/OR_8Clients,67.21885908909371,12.809484,Run1
serial_pendedcompletedrequest3_2.bpl.bpl.txt,OK,OK,OK,OK,OK,118,156,119,129,433,265.493245,564.962855,261.391047,102.34428600000001,106.006855,simulate8Clients/OR_8Clients,3.5786746316252476,102.34428600000001,Run1
sbp2port_irqlkesetevent_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,195,211,190,180,0,3598.279419,3598.118914,3598.287852,3598.246935,3600,NONE,NA,3600,Run1
cyyport_pagedcode_0.bpl.bpl.txt,OK,OK,OK,OK,OK,84,74,74,74,293,202.117135,162.870286,532.1522970000001,115.191996,151.568652,simulate8Clients/OR_8Clients,31.57915242652795,115.191996,Run1
avc_markirppending_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,182,277,364,811,0,3598.738151,3598.717237,3598.722182,3598.776579,3600,NONE,NA,3600,Run1
avc_lowerdriverreturn_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,125,155,117,136,304,86.26888,462.756307,211.479953,164.28618799999998,144.63069,simulate8Clients/alpha50_1,67.65105794812682,86.26888,Run1
1394diag_pendedcompletedrequest_0.bpl.bpl.txt,OK,OK,OK,OK,OK,82,71,73,121,165,123.971752,108.288858,181.817303,90.149015,24.20593,wholeBenchmarkRun/OR,272.4253313134427,90.149015,Run1
kbdclass_nsremovelockmnremove_0.bpl.bpl.txt,OK,OK,OK,OK,OK,257,139,181,369,7731,1214.026497,492.37232,729.904351,1035.455207,3244.031658,simulate8Clients/alpha50_2,558.8574390209425,492.37232,Run1
daytona_removelockrelease2_1.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,66,63,45,66,269,33.969707,33.273967,26.729361,51.96628,79.61835500000001,simulate8Clients/alpha50_3,197.86853116316553,26.729361,Run1
61883_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,27,20,21,28,107,12.475241,7.382269,10.877785,7.1818859999999995,14.066122,simulate8Clients/OR_8Clients,95.85554546535549,7.1818859999999995,Run1
sbp2port_irqlkesetevent_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,398,392,347,1292,0,3598.764598,3598.76488,3598.791008,3598.782836,3600,NONE,NA,3600,Run1
daytona_removelockreleasepnp_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,32,43,40,57,370,27.192833,48.714186,44.441189,49.799538999999996,112.312671,simulate8Clients/alpha50_1,313.02306015706415,27.192833,Run1
avc_forwardedatbadirql_0.bpl.bpl.txt,NOK,NOK,TIMEDOUT,TIMEDOUT,NOK,243,243,690,2440,320,555.2787500000001,544.2154409999999,3598.989299,3598.990026,79.51099599999999,wholeBenchmarkRun/OR,584.4530547699339,544.2154409999999,Run1
cyzport_irqlkesetevent_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,24,22,24,32,162,13.158045999999999,15.156690000000001,19.776954,17.112807,31.196244,simulate8Clients/alpha50_1,137.0887288279734,13.158045999999999,Run1
sbp2port_irqlkewaitformutexobject_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,43,27,27,30,157,28.599743,9.926244,9.981804,9.134619,18.640312,simulate8Clients/OR_8Clients,104.06228218166515,9.134619,Run1
sbp2port_markingqueuedirps_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,238,214,263,0,0,3598.007129,3598.267991,3598.224416,3600,3600,NONE,NA,3600,Run1
sys_completerequest_6.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,23,29,22,21,106,14.322127,15.103681,9.319376,15.730395999999999,18.974476,simulate8Clients/alpha50_3,103.60243003394218,9.319376,Run1
61883_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,23,24,22,22,106,6.54643,11.369515,10.71212,7.457236,14.162451999999998,simulate8Clients/alpha50_1,116.33855399049556,6.54643,Run1
mouser_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,OK,OK,OK,OK,172,137,136,60,333,402.500485,298.722191,161.398835,95.168119,105.520217,simulate8Clients/OR_8Clients,10.877695292054684,95.168119,Run1
