Name,OR_OutCome,splitOnDemand_Outcome,OR_TotalSplits,splitOnDemand_TotalSplits,OR_RunTime,splitOnDemand_RunTime,Who Performed Better,By How Much Percentage,splitOnDemand TimedOut but not OR,OR TimedOut but not splitOnDemand
serial_irqlexallocatepool_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,99,58,3597.458695,3597.529951,TIMED-OUT,TIMED-OUT,0,0
modem_markirppending_0.bpl.bpl.txt,NOK,NOK,134,21,119.594116,1503.473284,OR,1157.1465338645924,0,0
kbdclass_ioallocatefree_1.bpl.bpl.txt,NOK,NOK,27,11,23.925455,83.279742,OR,248.08007622007605,0,0
tffsport_spinlocksafe_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1472,29,3597.324526,3597.092352,TIMED-OUT,TIMED-OUT,0,0
usbccgp_irqlioapclte_0.bpl.bpl.txt,OK,TIMEDOUT,200,65,260.185487,3597.414664,OR,1282.6346371117922,1,0
61883_completerequest_0.bpl.bpl.txt,NOK,NOK,21,16,15.716148,65.147331,OR,314.524799588296,0,0
sys_zwregistryopen_0.bpl.bpl.txt,OK,TIMEDOUT,56,140,2947.80437,3598.437506,OR,22.071788162794547,1,0
61883_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,NOK,NOK,22,13,14.418900999999998,23.976193,OR,66.28308218497375,0,0
ppa3x_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,OK,OK,110,114,117.091184,352.83615199999997,OR,201.33451550033007,0,0
driver_markingqueuedirps_3.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2372,142,3596.381006,3596.197421,TIMED-OUT,TIMED-OUT,0,0
usbccgp_markirppending_0.bpl.bpl.txt,NOK,NOK,23,12,11.280407,13.485771999999999,OR,19.550402746993072,0,0
daytona_completerequeststatuscheck_1.bpl.bpl.txt,OK,OK,103,100,150.684762,385.89919000000003,OR,156.09702326768783,0,0
flpydisk_irqlexapclte1_1.bpl.bpl.txt,OK,TIMEDOUT,60,117,718.266666,3598.516432,OR,401.00006060980144,1,0
parport_irqlexallocatepool_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1495,42,3596.979295,3597.1386,TIMED-OUT,TIMED-OUT,0,0
serenum_markirppending_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1658,78,3598.624162,3598.293411,TIMED-OUT,TIMED-OUT,0,0
