Name,UW_OutCome,splitOnDemand_Outcome,UW_TotalSplits,splitOnDemand_TotalSplits,UW_RunTime,splitOnDemand_RunTime,Who Performed Better,By How Much Percentage,splitOnDemand TimedOut but not UW,UW TimedOut but not splitOnDemand
usbccgp_markirppending_0.bpl.bpl.txt,NOK,NOK,55,12,110.400411,13.485771999999999,splitOnDemand,718.643611948949,0,0
sbp2port_irqldispatch_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1237,82,3595.817573,3597.60264,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlioapclte_0.bpl.bpl.txt,TIMEDOUT,NOK,1989,34,3597.105181,180.87629800000002,splitOnDemand,TIMED-OUT,0,1
usbccgp_completerequeststatuscheck_0.bpl.bpl.txt,NOK,NOK,172,21,289.53788,35.083153,splitOnDemand,725.2903608749189,0,0
kbdclass_powerdownallocate_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1812,88,3598.221976,3598.433314,TIMED-OUT,TIMED-OUT,0,0
driver_iobuildsynchronousfsdrequestnofree_0.bpl.bpl.txt,NOK,TIMEDOUT,323,21,559.36009,3594.532303,UW,TIMED-OUT,1,0
61883_irqlreturn_0.bpl.bpl.txt,OK,OK,955,73,1711.597568,466.800842,splitOnDemand,266.6654842923355,0,0
usbccgp_forwardedatbadirql_0.bpl.bpl.txt,NOK,NOK,188,23,304.638163,230.628355,splitOnDemand,32.09050682428013,0,0
mp_irqlexpassive_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1760,45,3596.291715,3596.501144,TIMED-OUT,TIMED-OUT,0,0
daytona_removelockrelease2_0.bpl.bpl.txt,NOK,NOK,112,72,124.292952,126.53050099999999,UW,1.8002219466152731,0,0
serial_pagedcode_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1167,49,3595.6148,3597.912275,TIMED-OUT,TIMED-OUT,0,0
sys_irqlzwpassive_3.bpl.bpl.txt,TIMEDOUT,OK,1744,140,3597.839139,1211.198521,splitOnDemand,TIMED-OUT,0,1
serial_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1099,86,3597.68809,3597.950368,TIMED-OUT,TIMED-OUT,0,0
usbccgp_lowerdriverreturn_0.bpl.bpl.txt,NOK,NOK,161,21,259.12162800000004,46.370995,splitOnDemand,458.8010953830084,0,0
hw_irqlexallocatepool_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2109,61,3597.695678,3597.8089,TIMED-OUT,TIMED-OUT,0,0
mouser_forwardedatbadirqlallocate_0.bpl.bpl.txt,TIMEDOUT,NOK,219,63,3598.618323,893.2654299999999,splitOnDemand,TIMED-OUT,0,1
parzip_nsremovelockquerymnremove_0.bpl.bpl.txt,OK,OK,66,98,130.041614,151.91083700000001,UW,16.817095948993686,0,0
61883_irqlkesetevent_0.bpl.bpl.txt,OK,OK,4,4,3.377384,3.3726130000000003,splitOnDemand,0.14146301398944552,0,0
kbdclass_multremovelock_1.bpl.bpl.txt,NOK,NOK,34,15,26.833987999999998,27.744759000000002,UW,3.394094832270194,0,0
sbp2port_deletedevice_0.bpl.bpl.txt,OK,OK,741,95,1576.050784,804.0586430000001,splitOnDemand,96.01191999126361,0,0
serenum_completerequest_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1710,125,3598.412727,3598.577178,TIMED-OUT,TIMED-OUT,0,0
61883_completerequest_0.bpl.bpl.txt,NOK,NOK,42,16,56.456247,65.147331,UW,15.394370794785555,0,0
hw_irqlkeraiselower_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2101,103,3597.828824,3595.294997,TIMED-OUT,TIMED-OUT,0,0
sbp2port_markirppending_1.bpl.bpl.txt,NOK,NOK,119,14,269.43452199999996,46.476445,splitOnDemand,479.7227434241151,0,0
hw_completerequest_0.bpl.bpl.txt,NOK,NOK,26,18,21.765762,22.497619999999998,UW,3.362427651280939,0,0
modem_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,547,11,3597.844213,3596.255296,TIMED-OUT,TIMED-OUT,0,0
