Name,OR_OutCome,AlphaDecay_Outcome,OR_TotalSplits,AlphaDecay_TotalSplits,OR_RunTime,AlphaDecay_RunTime,Who Performed Better,By How Much Percentage,AlphaDecay TimedOut but not OR,OR TimedOut but not AlphaDecay
hw_pagedcode_0.bpl.bpl.txt,OK,OK,488,532,893.789863,965.889442,OR,8.066725970464498,0,0
mouser_removelock_1.bpl.bpl.txt,TIMEDOUT,NOK,246,106,3598.574353,81.894261,AlphaDecay,TIMED-OUT,0,1
filter_iobuilddevicecontrolnofree_0.bpl.bpl.txt,OK,OK,108,696,300.931232,2436.620111,OR,709.6933292055243,0,0
61883_irqlreturn_0.bpl.bpl.txt,OK,OK,51,58,52.894806,80.465867,OR,52.124325779737234,0,0
parport_irqlexallocatepool_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1495,1493,3596.979295,3597.061163,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocatefree_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2230,2101,3595.872001,3597.830547,TIMED-OUT,TIMED-OUT,0,0
mp_irqlkedispatchlte_0.bpl.bpl.txt,OK,OK,68,95,89.66592999999999,209.08417,OR,133.18128747451794,0,0
1394diag_pendedcompletedrequest_0.bpl.bpl.txt,OK,OK,128,103,96.464784,167.56627,OR,73.70719453432872,0,0
avc_ioreuseirp_0.bpl.bpl.txt,NOK,NOK,143,131,186.16087399999998,218.631237,OR,17.442098493800597,0,0
sbp2port_markirppending_1.bpl.bpl.txt,NOK,NOK,51,39,48.146601999999994,36.738606000000004,AlphaDecay,31.05179330974068,0,0
avc_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2131,2120,3597.993471,3597.864535,TIMED-OUT,TIMED-OUT,0,0
serial_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1107,1122,3597.972557,3597.573609,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkeraiselower2_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1754,1753,3597.856591,3598.033261,TIMED-OUT,TIMED-OUT,0,0
hw_irqldispatch_0.bpl.bpl.txt,OK,OK,119,123,187.595977,334.464221,OR,78.28965543328256,0,0
61883_removelockrelease2_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1733,1726,3597.735833,3597.679992,TIMED-OUT,TIMED-OUT,0,0
modem_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,NOK,NOK,40,29,24.642771,25.10733,OR,1.8851735464327501,0,0
usbccgp_markirppending_0.bpl.bpl.txt,NOK,NOK,23,18,11.280407,10.252424000000001,AlphaDecay,10.02673123936348,0,0
sbp2port_irqlreturn_1.bpl.bpl.txt,OK,OK,85,94,122.97108200000001,117.625262,AlphaDecay,4.544789026697346,0,0
serial_zwregistryopen_0.bpl.bpl.txt,OK,OK,208,118,1845.204845,3431.763665,OR,85.9828015463508,0,0
