Name,OR_Outcome,OR_TotalSplits,OR_Runtime,Who_Performed_Better
mp_irqlexapclte3_0.bpl.bpl.txt,OK,322,70.58778000000001,OR
sbp2port_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,123,8.220886,OR
serial_irqlzwpassive_0.bpl.bpl.txt,0,0,0.0,OR
daytona_removelockreleasepnp_1.bpl.bpl.txt,NOK,237,71.50390999999999,OR
sys_removelockmnsurpriseremove_0.bpl.bpl.txt,NOK,106,27.745588,OR
61883_multremovelock_1.bpl.bpl.txt,OK,376,120.659892,OR
ppa3x_completerequest_0.bpl.bpl.txt,0,0,0.0,OR
mouser_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,OK,222,92.470281,OR
sbp2port_completerequest_1.bpl.bpl.txt,NOK,185,36.376522,OR
mouser_completerequest_1.bpl.bpl.txt,0,0,0.0,OR
kbdclass_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,118,24.032809,OR
modem_irqlkesetevent_0.bpl.bpl.txt,0,0,0.0,OR
hw_irqlreturn_0.bpl.bpl.txt,OK,319,130.636874,OR
kbdclass_removelockforward2_1.bpl.bpl.txt,NOK,211,71.764572,OR
hw_irqlexallocatepool_0.bpl.bpl.txt,OK,2598,1555.5483980000001,OR
kbdclass_multremovelock_0.bpl.bpl.txt,NOK,172,61.509037,OR
cyzport_markingqueuedirps_0.bpl.bpl.txt,NOK,247,38.41302,OR
hw_forwardedatbadirql_0.bpl.bpl.txt,0,0,0.0,OR
61883_pendedcompletedrequest3_1.bpl.bpl.txt,0,0,0.0,OR
sbp2port_irqlkeraiselower_1.bpl.bpl.txt,0,0,0.0,OR
serial_irqlkedispatchlte_1.bpl.bpl.txt,0,0,0.0,OR
61883_removelockrelease2_0.bpl.bpl.txt,0,0,0.0,OR
kbdclass_nsremovelockmnremove_0.bpl.bpl.txt,OK,7731,3244.031658,OR
61883_removelockreleasepnp_1.bpl.bpl.txt,0,0,0.0,OR
avc_forwardedatbadirql_0.bpl.bpl.txt,NOK,320,79.51099599999999,OR
usbccgp_irqliopassive3_0.bpl.bpl.txt,OK,401,130.033025,OR
usbccgp_forwardedatbadirql_0.bpl.bpl.txt,NOK,108,15.417807000000002,OR
driver_irqlexallocatepool_3.bpl.bpl.txt,OK,13,14.267399,OR
61883_ioallocateforward_1.bpl.bpl.txt,0,0,0.0,OR
partmgr_completerequest_0.bpl.bpl.txt,OK,324,86.439095,OR
serial_irqlzwpassive_2.bpl.bpl.txt,0,0,0.0,OR
kbdclass_nsremovelockquerymnremove_1.bpl.bpl.txt,OK,843,357.95593399999996,OR
driver_irqliopassive1_1.bpl.bpl.txt,OK,1,3.147964,OR
61883_lowerdriverreturn_0.bpl.bpl.txt,0,0,0.0,OR
mp_iobuildfsdirpsignaleventincompletiontimeout_0.bpl.bpl.txt,OK,1581,636.494683,OR
avc_completerequeststatuscheck_0.bpl.bpl.txt,NOK,300,110.268507,OR
partmgr_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,0,0,0.0,OR
kbdclass_nsremovelockmnsurpriseremove_1.bpl.bpl.txt,OK,7377,3245.036767,OR
mouser_multremovelock_0.bpl.bpl.txt,NOK,92,8.282236,OR
tffsport_spinlocksafe_0.bpl.bpl.txt,0,0,0.0,OR
sbp2port_ioallocateforward_0.bpl.bpl.txt,NOK,90,11.209912,OR
