Name,NOK_OutCome,NOK_Outcome,NOK_TotalSplits,NOK_TotalSplits,NOK_RunTime,NOK_RunTime,Who Performed Better,By How Much Percentage,NOK TimedOut but not NOK,NOK TimedOut but not NOK
61883_removelockreleasedevicecontrol_1.bpl.bpl.txt,NOK,NOK,26,26,10.130015,10.130015,TIMED-OUT,TIMED-OUT,0,0
avc_lowerdriverreturn_0.bpl.bpl.txt,NOK,NOK,146,146,152.921405,152.921405,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkereleasespinlock_0.bpl.bpl.txt,NOK,NOK,272,272,316.57219499999997,316.57219499999997,TIMED-OUT,TIMED-OUT,0,0
61883_removelockreleaseinternaldevicecontrol_1.bpl.bpl.txt,NOK,NOK,26,26,10.353124000000001,10.353124000000001,TIMED-OUT,TIMED-OUT,0,0
mouser_removelockforward2_0.bpl.bpl.txt,NOK,NOK,31,31,19.61158,19.61158,TIMED-OUT,TIMED-OUT,0,0
daytona_removelockrelease2_1.bpl.bpl.txt,NOK,NOK,84,84,83.02788,83.02788,TIMED-OUT,TIMED-OUT,0,0
61883_completerequest_1.bpl.bpl.txt,NOK,NOK,21,21,11.962774,11.962774,TIMED-OUT,TIMED-OUT,0,0
61883_ioreuseirp_1.bpl.bpl.txt,NOK,NOK,21,21,14.305877,14.305877,TIMED-OUT,TIMED-OUT,0,0
kbdclass_ioallocatefree_1.bpl.bpl.txt,NOK,NOK,27,27,17.857523,17.857523,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,NOK,NOK,21,21,12.139706,12.139706,TIMED-OUT,TIMED-OUT,0,0
sbp2port_pendedcompletedrequest2_1.bpl.bpl.txt,NOK,NOK,20,20,10.15828,10.15828,TIMED-OUT,TIMED-OUT,0,0
61883_pendedcompletedrequest_1.bpl.bpl.txt,NOK,NOK,27,27,10.028841,10.028841,TIMED-OUT,TIMED-OUT,0,0
usbprint_ioallocatecomplete_0.bpl.bpl.txt,NOK,NOK,20,20,8.835671999999999,8.835671999999999,TIMED-OUT,TIMED-OUT,0,0
hw_completerequest_0.bpl.bpl.txt,NOK,NOK,30,30,28.089661,28.089661,TIMED-OUT,TIMED-OUT,0,0
kbdclass_removelockforward2_1.bpl.bpl.txt,NOK,NOK,63,63,72.149658,72.149658,TIMED-OUT,TIMED-OUT,0,0
scsiscan_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,23,23,11.729967,11.729967,TIMED-OUT,TIMED-OUT,0,0
daytona_removelock_0.bpl.bpl.txt,NOK,NOK,59,59,55.913614,55.913614,TIMED-OUT,TIMED-OUT,0,0
mouser_forwardedatbadirqlallocate_1.bpl.bpl.txt,NOK,NOK,145,145,149.714169,149.714169,TIMED-OUT,TIMED-OUT,0,0
kbdclass_removelockreleasepnp_1.bpl.bpl.txt,NOK,NOK,90,90,97.722271,97.722271,TIMED-OUT,TIMED-OUT,0,0
mouclass_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,NOK,NOK,29,29,20.173752999999998,20.173752999999998,TIMED-OUT,TIMED-OUT,0,0
usbccgp_removelockreleaseinternaldevicecontrol_0.bpl.bpl.txt,NOK,NOK,48,48,17.199044999999998,17.199044999999998,TIMED-OUT,TIMED-OUT,0,0
kbdclass_forwardedatbadirqlallocate_1.bpl.bpl.txt,NOK,NOK,45,45,35.411519,35.411519,TIMED-OUT,TIMED-OUT,0,0
usbccgp_completerequeststatuscheck_0.bpl.bpl.txt,NOK,NOK,23,23,13.070005,13.070005,TIMED-OUT,TIMED-OUT,0,0
usbccgp_removelockreleasepower_0.bpl.bpl.txt,NOK,NOK,29,29,18.338472,18.338472,TIMED-OUT,TIMED-OUT,0,0
sbp2port_markirppending_0.bpl.bpl.txt,NOK,NOK,73,73,77.568763,77.568763,TIMED-OUT,TIMED-OUT,0,0
sbp2port_pendedcompletedrequest_0.bpl.bpl.txt,NOK,NOK,46,46,22.085031,22.085031,TIMED-OUT,TIMED-OUT,0,0
mouser_removelockrelease2_0.bpl.bpl.txt,NOK,NOK,79,79,39.741399,39.741399,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlioapclte_0.bpl.bpl.txt,NOK,NOK,31,31,11.975010999999999,11.975010999999999,TIMED-OUT,TIMED-OUT,0,0
parport_markstartdevice_0.bpl.bpl.txt,NOK,NOK,18,18,27.005012,27.005012,TIMED-OUT,TIMED-OUT,0,0
daytona_removelockreleasepnp_0.bpl.bpl.txt,NOK,NOK,81,81,80.829473,80.829473,TIMED-OUT,TIMED-OUT,0,0
1394vdev_completerequest_0.bpl.bpl.txt,NOK,NOK,21,21,10.49056,10.49056,TIMED-OUT,TIMED-OUT,0,0
winnt_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,NOK,24,24,9.921445,9.921445,TIMED-OUT,TIMED-OUT,0,0
61883_markqueryrelations_1.bpl.bpl.txt,NOK,NOK,26,26,14.538792,14.538792,TIMED-OUT,TIMED-OUT,0,0
